Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
30/11/2019 01:26,30/11/2019 08:21,353,62,25,415,42,212,99
28/11/2019 23:13,29/11/2019 07:18,429,55,35,484,108,214,107
12/11/2019 00:32,12/11/2019 07:30,362,56,26,418,36,281,45
10/11/2019 23:51,11/11/2019 07:25,385,69,38,454,74,217,94
10/11/2019 00:55,10/11/2019 10:03,448,100,44,548,19,367,62
08/11/2019 23:59,09/11/2019 10:53,563,91,50,654,99,350,114
07/11/2019 23:41,08/11/2019 07:28,401,66,32,467,67,269,65
07/11/2019 00:16,07/11/2019 07:14,354,64,22,418,45,260,49
05/11/2019 23:47,06/11/2019 07:12,382,63,34,445,79,229,74
04/11/2019 23:58,05/11/2019 07:20,374,68,25,442,25,299,50
04/11/2019 00:06,04/11/2019 07:22,377,58,31,435,34,286,57
03/11/2019 03:01,03/11/2019 10:45,395,68,41,463,32,274,89
02/11/2019 23:28,03/11/2019 01:01,83,10,0,93,N/A,N/A,N/A
01/11/2019 23:11,02/11/2019 09:07,505,91,60,596,79,296,130
01/11/2019 00:38,01/11/2019 07:05,323,63,24,386,52,193,78